Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 10/26/2016, YOU SOLD             OPENING TRANSACTION, -EBAY170120C31, CALL (EBAY) EBAY INC JAN 20 17 $31 (100 SHS),Margin,-3,0.57, 2.25,0.13,,168.62, 10/27/2016
 10/24/2016, PURCHASE INTO CORE ACCOUNT, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,0.84,1,,,,-0.84, 
 10/24/2016, EXPIRED              PUT (NFLX)          NETFLIX COM INC COM as of 10/21/2016, -NFLX161021P80, PUT (NFLX) NETFLIX COM INC COM OCT 21 16 $80 (100 SHS),Cash,1,,,,,, 
 10/24/2016, EXPIRED              CALL (NKE)          NIKE INC CLASS B as of 10/21/2016, -NKE161021C60, CALL (NKE) NIKE INC CLASS B OCT 21 16 $60 (100 SHS),Margin,2,,,,,, 
 10/24/2016, ASSIGNED as of 10/21/2016, -GME161021P30, PUT (GME) GAMESTOP CORP NEW CL OCT 21 16 $30 (100 SHS),Cash,2,,,,,, 
 10/24/2016, YOU BOUGHT           ASSIGNED PUTS       AS OF 10-21-16, GME, GAMESTOP CORP NEW CL A,Cash,200,30, 7.95,,,-6007.95, 10/26/2016
 10/21/2016, INTEREST EARNED as of 10/11/2016, , No Description,Cash,,,,,,0.02, 
 10/21/2016, INTEREST EARNED as of 10/20/2016, , No Description,Cash,,,,,,0.07, 
 10/21/2016, INTEREST EARNED as of 09/26/2016, , No Description,Cash,,,,,,0.13, 
 10/21/2016, INTEREST EARNED as of 10/17/2016, , No Description,Cash,,,,,,0.16, 
 10/21/2016, INTEREST EARNED as of 10/10/2016, , No Description,Cash,,,,,,0.21, 
 10/21/2016, INTEREST EARNED as of 10/03/2016, , No Description,Cash,,,,,,0.25, 
 10/20/2016, PURCHASE INTO CORE ACCOUNT, FDRXX, FIDELITY GOVERNMENT CASH RESERVES,Cash,52.96,1,,,,-52.96, 
 10/19/2016, YOU SOLD             OPENING TRANSACTION, -KO170120C43, CALL (KO) COCA COLA CO JAN 20 17 $43 (100 SHS),Margin,-1,0.63, 7.95,0.05,,55, 10/20/2016
 10/19/2016, YOU BOUGHT           CLOSING TRANSACTION, -KO161118C46, CALL (KO) COCA COLA CO NOV 18 16 $46 (100 SHS),Margin,1,0.02,,0.04,,-2.04, 10/20/2016
